student_id,gender,class,study_hours_per_week,attendance_percent,math_score,science_score,english_score,parent_education,total_score,average_score,grade,performance_category,result,at_risk
S1000,Male,10C,11.4,87.0,68.9,72.3,70.6,Bachelors,211.79999999999998,70.6,C,Average,Pass,False
S1001,Female,10A,17.5,75.7,89.1,81.0,94.9,High School,265.0,88.33,B,Excellent,Pass,False
S1002,Male,10A,13.8,87.1,66.8,74.9,67.3,Bachelors,209.0,69.67,C,Average,Pass,False
S1003,Male,10D,7.7,93.3,50.5,56.8,52.8,Masters,160.1,53.37,D,Needs Improvement,Pass,False
S1004,Male,10C,6.4,89.8,58.9,44.5,56.4,Bachelors,159.8,53.27,D,Needs Improvement,Pass,False
S1005,Female,10A,12.0,86.1,59.1,53.4,46.2,High School,158.7,52.9,D,Needs Improvement,Pass,False
S1006,Male,10D,4.7,92.8,62.4,56.0,69.6,High School,188.0,62.67,C,Average,Pass,False
S1007,Male,10C,17.3,94.0,81.3,78.0,83.2,High School,242.5,80.83,B,Average,Pass,False
S1008,Male,10D,14.7,96.6,71.9,72.0,75.5,Bachelors,219.4,73.13,C,Average,Pass,False
S1009,Female,10B,8.1,87.8,54.6,48.1,80.4,Bachelors,183.10000000000002,61.03,C,Average,Pass,False
S1010,Male,10A,3.1,78.0,26.6,22.6,15.7,High School,64.9,21.63,F,Needs Improvement,Fail,False
S1011,Male,10B,15.4,81.8,73.0,57.4,73.8,PhD,204.2,68.07,C,Average,Pass,False
S1012,Male,10C,9.5,94.5,74.5,72.4,69.4,Masters,216.3,72.1,C,Average,Pass,False
S1013,Male,10B,15.0,70.2,58.6,60.7,62.0,Bachelors,181.3,60.43,C,Average,Pass,False
S1014,Female,10B,3.6,84.4,38.6,30.1,34.1,Masters,102.80000000000001,34.27,F,Needs Improvement,Fail,False
S1015,Male,10C,7.6,75.3,51.4,54.5,50.9,High School,156.8,52.27,D,Needs Improvement,Pass,False
S1016,Female,10D,10.0,80.3,73.6,63.3,63.2,Bachelors,200.09999999999997,66.7,C,Average,Pass,False
S1017,Female,10B,10.2,95.3,71.6,67.7,71.3,Bachelors,210.60000000000002,70.2,C,Average,Pass,False
S1018,Female,10D,8.2,82.3,60.7,71.4,52.3,Masters,184.40000000000003,61.47,C,Average,Pass,False
S1019,Male,10B,12.5,80.6,60.1,65.5,61.9,Masters,187.5,62.5,C,Average,Pass,False
S1020,Female,10D,5.7,63.7,18.9,20.6,25.9,High School,65.4,21.8,F,Needs Improvement,Fail,True
S1021,Male,10C,9.4,89.0,64.4,76.1,64.3,PhD,204.8,68.27,C,Average,Pass,False
S1022,Female,10B,10.5,87.7,51.6,63.6,56.0,High School,171.2,57.07,D,Needs Improvement,Pass,False
S1023,Female,10C,12.1,100.0,69.1,61.4,75.8,Masters,206.3,68.77,C,Average,Pass,False
S1024,Female,10B,12.8,76.3,83.5,78.1,69.9,PhD,231.5,77.17,B,Average,Pass,False
S1025,Female,10C,5.5,82.6,64.6,60.5,53.4,High School,178.5,59.5,D,Needs Improvement,Pass,False
S1026,Female,10C,3.9,83.0,50.4,39.9,42.2,Masters,132.5,44.17,D,Needs Improvement,Pass,False
S1027,Female,10B,15.1,98.9,97.6,89.1,99.2,High School,285.9,95.3,A,Excellent,Pass,False
S1028,Female,10B,11.3,78.9,43.9,60.8,58.8,Bachelors,163.5,54.5,D,Needs Improvement,Pass,False
S1029,Female,10B,7.0,83.3,55.0,59.9,69.3,Bachelors,184.2,61.4,C,Average,Pass,False
S1030,Male,10A,16.2,87.3,71.1,79.2,74.8,Bachelors,225.10000000000002,75.03,B,Average,Pass,False
S1031,Male,10D,10.5,82.2,57.6,63.3,65.3,PhD,186.2,62.07,C,Average,Pass,False
S1032,Female,10A,14.7,74.6,77.8,81.2,79.4,Bachelors,238.4,79.47,B,Average,Pass,False
S1033,Female,10A,10.3,82.3,59.9,54.8,70.5,Bachelors,185.2,61.73,C,Average,Pass,False
S1034,Female,10C,18.2,92.9,75.1,93.3,82.7,Masters,251.09999999999997,83.7,B,Average,Pass,False
S1035,Male,10B,17.0,67.7,82.6,85.2,82.6,PhD,250.4,83.47,B,Average,Pass,False
S1036,Female,10D,9.0,81.6,45.8,50.8,51.1,High School,147.7,49.23,D,Needs Improvement,Pass,False
S1037,Male,10C,13.9,71.6,58.1,56.4,56.3,PhD,170.8,56.93,D,Needs Improvement,Pass,False
S1038,Male,10A,12.6,94.3,73.3,51.7,61.4,High School,186.4,62.13,C,Average,Pass,False
S1039,Male,10B,15.5,61.7,42.2,50.8,49.2,Masters,142.2,47.4,D,Needs Improvement,Pass,True
S1040,Male,10C,6.1,73.3,45.8,64.5,60.3,High School,170.6,56.87,D,Needs Improvement,Pass,False
S1041,Male,10B,12.7,84.5,55.0,56.4,58.0,High School,169.4,56.47,D,Needs Improvement,Pass,False
S1042,Female,10C,14.2,98.8,79.9,80.0,82.7,Bachelors,242.60000000000002,80.87,B,Average,Pass,False
S1043,Female,10B,3.0,79.2,48.7,35.0,42.9,Bachelors,126.6,42.2,D,Needs Improvement,Pass,False
S1044,Female,10A,5.3,73.3,37.7,48.4,50.2,Bachelors,136.3,45.43,D,Needs Improvement,Pass,False
S1045,Female,10D,1.8,100.0,54.0,44.9,48.3,High School,147.2,49.07,D,Needs Improvement,Pass,False
S1046,Female,10A,8.9,62.6,51.4,54.0,48.8,Bachelors,154.2,51.4,D,Needs Improvement,Pass,False
S1047,Male,10D,12.9,53.6,48.4,48.0,54.8,Masters,151.2,50.4,D,Needs Improvement,Pass,False
S1048,Female,10B,16.0,85.3,88.6,74.1,78.0,Bachelors,240.7,80.23,B,Average,Pass,False
S1049,Female,10C,10.3,74.0,48.6,55.4,66.4,High School,170.4,56.8,D,Needs Improvement,Pass,False
S1050,Male,10A,16.5,67.7,67.9,65.6,62.7,Bachelors,196.2,65.4,C,Average,Pass,False
S1051,Female,10D,4.5,88.5,62.3,64.5,58.1,High School,184.9,61.63,C,Average,Pass,False
S1052,Male,10A,3.2,82.9,51.6,42.5,35.3,Masters,129.39999999999998,43.13,D,Needs Improvement,Pass,False
S1053,Female,10D,9.8,73.2,60.2,50.0,57.3,Masters,167.5,55.83,D,Needs Improvement,Pass,False
S1054,Male,10A,11.5,64.6,61.7,70.4,65.9,Bachelors,198.00000000000003,66.0,C,Average,Pass,False
S1055,Female,10D,9.9,90.5,68.0,78.6,67.5,Bachelors,214.1,71.37,C,Average,Pass,False
S1056,Female,10D,1.7,87.8,42.4,33.1,44.7,Masters,120.2,40.07,D,Needs Improvement,Pass,False
S1057,Male,10B,9.6,78.8,43.1,49.3,44.0,Bachelors,136.4,45.47,D,Needs Improvement,Pass,False
S1058,Male,10D,4.8,100.0,58.9,52.2,57.1,Masters,168.2,56.07,D,Needs Improvement,Pass,False
S1059,Male,10B,12.7,67.2,51.2,55.0,46.5,Bachelors,152.7,50.9,D,Needs Improvement,Pass,False
S1060,Male,10D,11.5,61.7,51.5,51.0,49.7,Masters,152.2,50.73,D,Needs Improvement,Pass,False
S1061,Male,10C,6.2,71.7,48.7,47.5,30.9,Bachelors,127.1,42.37,D,Needs Improvement,Pass,False
S1062,Male,10C,7.9,79.5,68.2,56.8,60.3,Bachelors,185.3,61.77,C,Average,Pass,False
S1063,Male,10C,5.8,82.9,47.5,43.7,38.0,PhD,129.2,43.07,D,Needs Improvement,Pass,False
S1064,Male,10D,9.7,77.1,46.9,52.1,64.8,Bachelors,163.8,54.6,D,Needs Improvement,Pass,False
S1065,Female,10B,13.8,84.2,89.4,76.8,86.5,Bachelors,252.7,84.23,B,Average,Pass,False
S1066,Female,10B,6.1,65.0,37.7,42.8,46.0,High School,126.5,42.17,D,Needs Improvement,Pass,True
S1067,Male,10D,12.0,97.3,85.8,85.4,98.9,Bachelors,270.1,90.03,A,Excellent,Pass,False
S1068,Female,10C,7.9,79.0,52.3,60.0,50.2,Bachelors,162.5,54.17,D,Needs Improvement,Pass,False
S1069,Female,10C,6.8,93.4,57.6,49.2,50.8,High School,157.60000000000002,52.53,D,Needs Improvement,Pass,False
S1070,Female,10B,9.6,84.1,50.9,60.2,69.3,High School,180.39999999999998,60.13,C,Average,Pass,False
S1071,Female,10C,5.9,85.5,70.8,53.4,50.6,Bachelors,174.79999999999998,58.27,D,Needs Improvement,Pass,False
