student_id,gender,class,study_hours_per_week,attendance_percent,math_score,science_score,english_score,parent_education
S1000,Male,10C,11.4,87.0,68.9,72.3,70.6,Bachelors
S1001,Female,10A,17.5,75.7,89.1,81.0,94.9,High School
S1002,Male,10A,13.8,87.1,66.8,74.9,67.3,Bachelors
S1003,Male,10D,7.7,93.3,50.5,56.8,52.8,Masters
S1004,Male,10C,6.4,89.8,58.9,44.5,56.4,Bachelors
S1005,Female,10A,12.0,86.1,59.1,53.4,46.2,High School
S1006,Male,10D,4.7,92.8,62.4,56.0,69.6,High School
S1007,Male,10C,17.3,94.0,81.3,78.0,83.2,High School
S1008,Male,10D,14.7,96.6,71.9,72.0,75.5,Bachelors
S1009,Female,10B,8.1,87.8,54.6,48.1,80.4,Bachelors
S1010,Male,10A,3.1,78.0,26.6,22.6,15.7,High School
S1011,Male,10B,15.4,81.8,73.0,57.4,73.8,PhD
S1012,Male,10C,9.5,94.5,74.5,72.4,69.4,Masters
S1013,Male,10B,15.0,70.2,58.6,60.7,62.0,Bachelors
S1014,Female,10B,3.6,84.4,38.6,30.1,34.1,Masters
S1015,Male,10C,7.6,75.3,51.4,54.5,50.9,High School
S1016,Female,10D,10.0,80.3,73.6,63.3,63.2,Bachelors
S1017,Female,10B,10.2,95.3,71.6,67.7,71.3,Bachelors
S1018,Female,10D,8.2,82.3,60.7,71.4,52.3,Masters
S1019,Male,10B,12.5,80.6,60.1,65.5,61.9,Masters
S1020,Female,10D,5.7,63.7,18.9,20.6,25.9,High School
S1021,Male,10C,9.4,89.0,64.4,76.1,64.3,PhD
S1022,Female,10B,10.5,87.7,51.6,63.6,56.0,High School
S1023,Female,10C,12.1,100.0,69.1,61.4,75.8,Masters
S1024,Female,10B,12.8,76.3,83.5,78.1,69.9,PhD
S1025,Female,10C,5.5,82.6,64.6,60.5,53.4,High School
S1026,Female,10C,3.9,83.0,50.4,39.9,42.2,Masters
S1027,Female,10B,15.1,98.9,97.6,89.1,99.2,High School
S1028,Female,10B,11.3,78.9,43.9,60.8,58.8,Bachelors
S1029,Female,10B,7.0,83.3,55.0,59.9,69.3,Bachelors
S1030,Male,10A,16.2,87.3,71.1,79.2,74.8,Bachelors
